[a:001],天体兔,兔哥兹,,,
[a:002],熊猫,,,,
[a:003],白头鹰,,,,
[a:004],毛熊,藤冈,,,
[a:005],兔美,,,,
[a:006],熊吉,,,,
[a:007],早乙女玄马,,,,
[a:008],喵,,,,
[a:009],狸,,,,
[a:010],喵先生,,,,
[a:011],Tiger,,,,
[a:012],大河虎,,,,
[a:013],大神,,,,
[a:014],爪,,,,
[a:015],大圣,,,,
[a:016],空知猩猩,,,,
[a:017],摇曳露营,竹轮1,,,
[a:018],摇曳露营,竹轮2,,,
[a:019],Jack眼神变,,,,
[a:020],动物森友会,西施惠,,,
[a:021],动物森友会,狐利,,,
[a:022],动物森友会,傅珂,,,
[a:023],动物森友会,狸克,,,
[a:024],动物森友会,美玲,,,
[a:025],动物森友会,蹦蹦,,,
[a:026],动物森友会,茶茶丸,,,
[a:027],北狗神拳头像,二狗,,,
[a:028],北狗神拳头像,黑线二狗,,,
[a:029],强狗,Doge,,,
[a:030],弱狗,Cheems,,,
[a:031],葫芦兄弟,青蛙,,,
[b:001],哈罗,,,,
[b:002],吉翁号,,,,
[b:003],,,,,
[b:004],,,,,
[b:005],,,,,
[b:006],,,,,
[b:007],,,,,
[b:008],,,,,
[b:009],,,,,
[b:010],,,,,
[b:011],,,,,
[b:012],,,,,
[b:013],,,,,
[b:014],,,,,
[b:015],,,,,
[b:016],红色有角,,,,
[b:017],,,,,
[b:018],元祖,,,,
[b:019],,,,,
[b:020],,,,,
[b:021],,,,,
[b:022],ZZ,,,,
[b:023],,,,,
[b:024],,,,,
[b:025],,,,,
[b:026],,,,,
[b:027],TurnA,,,,
[b:028],,,,,
[b:029],,,,,
[b:030],,,,,
[b:031],,,,,
[b:032],,,,,
[b:033],,,,,
[b:034],,,,,
[b:035],,,,,
[b:036],,,,,
[b:037],元祖TV,,,,
[c:001],DeathNote,夜神月,计划通,,
[c:002],圣斗士星矢,城户纱织,你不是还有生命吗,,
[c:003],幸运星,泉此方,,,
[c:004],游戏王,城之内克也,,,
[c:005],北斗神拳,健次郎,,,
[c:006],日常,相生祐子,,,
[c:007],Eureka7,兰顿,,,
[c:008],即使如此小镇依然转动,岚山步鸟,,,
[c:009],Re从零开始的异世界生活,菜月昴,,,
[c:010],阿松,椴松,,,
[c:011],烙印战士,霸王之卵,,,
[c:012],明日的丈,矢吹丈,,,
[c:013],JOJO的奇妙冒险,岸边露伴,但是我拒绝,,
[c:014],MacrossF,兰卡李,KIRA,,
[c:015],StarDriver,海德,绮罗星,,
[c:016],龙珠,天津饭,太阳拳,,
[c:017],未来日记,我妻由乃,,,
[c:018],路人女主的养成方法,英梨梨,败犬,,
[c:019],心跳Q娃,CureDiamond,不也挺好的吗,败犬,
[c:020],心跳Q娃,CureHeart,,,
[c:021],高达,阿姆罗,居然打两次,,
[c:022],高达,阿姆罗,连我爸爸都没有打过我,,
[c:023],高达,夏亚,因为还是个小鬼,,
[c:024],高达,雷比尔,,,
[c:025],高达SEED,基拉大和,但是卡嘉莉在哭啊,,
[c:026],高达SEEDD,真飞鸟,,,
[c:027],高达SEED,克鲁泽,你说这个谁懂啊,,
